"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","161","sqlInjection","Full Suite","Sun Aug 18 14:08:05 EEST 2024","passed","Sun Aug 18 14:08:05 EEST 2024","API.SearchTest","API","API.SearchTest","sqlInjection"
"","981","moviesSortedByRating","Full Suite","Sun Aug 18 14:08:01 EEST 2024","failed","Sun Aug 18 14:08:02 EEST 2024","API.PopularTests","API","API.PopularTests","moviesSortedByRating"
"","13626","Runs Cucumber Scenarios","Full Suite","Sun Aug 18 14:08:06 EEST 2024","passed","Sun Aug 18 14:08:19 EEST 2024","UI.TestRunner.Runner","UI","UI.TestRunner.Runner","runScenario"
"","557","invalidParamter","Full Suite","Sun Aug 18 14:08:00 EEST 2024","failed","Sun Aug 18 14:08:00 EEST 2024","API.DetailsTests","API","API.DetailsTests","invalidParamter"
"","176","searchWithWrongSpelling","Full Suite","Sun Aug 18 14:08:05 EEST 2024","failed","Sun Aug 18 14:08:05 EEST 2024","API.SearchTest","API","API.SearchTest","searchWithWrongSpelling"
"","2107","acceptsArabicWords","Full Suite","Sun Aug 18 14:08:02 EEST 2024","failed","Sun Aug 18 14:08:04 EEST 2024","API.SearchTest","API","API.SearchTest","acceptsArabicWords"
"","3164","Runs Cucumber Scenarios","Full Suite","Sun Aug 18 14:08:36 EEST 2024","passed","Sun Aug 18 14:08:39 EEST 2024","UI.TestRunner.Runner","UI","UI.TestRunner.Runner","runScenario"
"","8821","Runs Cucumber Scenarios","Full Suite","Sun Aug 18 14:08:19 EEST 2024","passed","Sun Aug 18 14:08:28 EEST 2024","UI.TestRunner.Runner","UI","UI.TestRunner.Runner","runScenario"
"","7959","Runs Cucumber Scenarios","Full Suite","Sun Aug 18 14:08:28 EEST 2024","broken","Sun Aug 18 14:08:36 EEST 2024","UI.TestRunner.Runner","UI","UI.TestRunner.Runner","runScenario"
"","970","validID","Full Suite","Sun Aug 18 14:08:00 EEST 2024","passed","Sun Aug 18 14:08:01 EEST 2024","API.DetailsTests","API","API.DetailsTests","validID"
"","7834","Runs Cucumber Scenarios","Full Suite","Sun Aug 18 14:08:39 EEST 2024","passed","Sun Aug 18 14:08:47 EEST 2024","UI.TestRunner.Runner","UI","UI.TestRunner.Runner","runScenario"
"","9646","invalidID","Full Suite","Sun Aug 18 14:07:50 EEST 2024","failed","Sun Aug 18 14:08:00 EEST 2024","API.DetailsTests","API","API.DetailsTests","invalidID"
"","278","onlyRelativeNameReturned","Full Suite","Sun Aug 18 14:08:04 EEST 2024","passed","Sun Aug 18 14:08:05 EEST 2024","API.SearchTest","API","API.SearchTest","onlyRelativeNameReturned"
"","185","searchWithEmptyQuery","Full Suite","Sun Aug 18 14:08:05 EEST 2024","passed","Sun Aug 18 14:08:05 EEST 2024","API.SearchTest","API","API.SearchTest","searchWithEmptyQuery"
